id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
669883,AGOS_L1_O_CRE_CCG3DTFA [[AGOS_L1_O_CRE_CCG3DTFA]],702,12990,58598,2026-06-09 14:15:59.273316+00:00,2026-07-24 12:58:10.436326+00:00,L1,OCS,XCE,,CCG3DTFA,"[""dbt build --select +ccg3dtfa""]","{""threads"": 2, ""target_name"": ""default""}"
669884,AGOS_L1_O_CON_PLPSFDADT [[AGOS_L1_O_CON_PLPSFDADT]],702,12990,58598,2026-06-09 14:15:59.507529+00:00,2026-06-30 09:33:46.088630+00:00,L1,OCS,CON,,PLPSFDADT,"[""dbt build --select +plpsfdadt""]","{""threads"": 2, ""target_name"": ""default""}"
669885,AGOS_L1_O_ANA_CCANALAM [[AGOS_L1_O_ANA_CCANALAM]],702,12990,58598,2026-06-09 14:15:59.762684+00:00,2026-07-24 12:56:57.446936+00:00,L1,OCS,XAN,,CCANALAM,"[""dbt build --select +ccanalam""]","{""threads"": 2, ""target_name"": ""default""}"
669886,AGOS_L1_O_FMP_OXANF2FR [[AGOS_L1_O_FMP_OXANF2FR]],702,12990,58598,2026-06-09 14:15:59.943376+00:00,2026-07-24 12:59:33.546100+00:00,L1,OCS,XFM,,OXANF2FR,"[""dbt build --select +oxanf2fr""]","{""threads"": 2, ""target_name"": ""default""}"
669887,AGOS_L1_O_INT_CCINTTML [[AGOS_L1_O_INT_CCINTTML]],702,12990,58598,2026-06-09 14:16:00.399895+00:00,2026-07-24 12:55:24.225297+00:00,L1,OCS,XIN,,CCINTTML,"[""dbt build --select +ccinttml""]","{""threads"": 2, ""target_name"": ""default""}"
669888,AGOS_L1_E_FEA_TBLUSERS [[AGOS_L1_E_FEA_TBLUSERS]],702,12990,58598,2026-06-09 14:16:00.670032+00:00,2026-06-30 09:37:46.130911+00:00,L1,FEA,,,TBLUSERS,"[""dbt build --select +tblusers""]","{""threads"": 2, ""target_name"": ""default""}"
669889,AGOS_L1_O_ANA_CCAZITGR [[AGOS_L1_O_ANA_CCAZITGR]],702,12990,58598,2026-06-09 14:16:00.940663+00:00,2026-07-24 12:57:54.768389+00:00,L1,OCS,XAN,,CCAZITGR,"[""dbt build --select +ccazitgr""]","{""threads"": 2, ""target_name"": ""default""}"
669890,AGOS_L1_O_FMP_BAPRATFP [[AGOS_L1_O_FMP_BAPRATFP]],702,12990,58598,2026-06-09 14:16:01.215541+00:00,2026-06-30 09:34:35.686368+00:00,L1,OCS,FMP,,BAPRATFP,"[""dbt build --select +bapratfp""]","{""threads"": 2, ""target_name"": ""default""}"
669891,AGOS_L1_O_CAR_CACHFPER [[AGOS_L1_O_CAR_CACHFPER]],702,12990,58598,2026-06-09 14:16:01.543439+00:00,2026-07-24 12:57:42.446827+00:00,L1,OCS,XCA,,CACHFPER,"[""dbt build --select +cachfper""]","{""threads"": 2, ""target_name"": ""default""}"
669892,AGOS_L1_O_INT_CCINTTSM [[AGOS_L1_O_INT_CCINTTSM]],702,12990,58598,2026-06-09 14:16:02.153927+00:00,2026-07-24 12:59:05.339129+00:00,L1,OCS,XIN,,CCINTTSM,"[""dbt build --select +ccinttsm""]","{""threads"": 2, ""target_name"": ""default""}"
669893,AGOS_L1_O_RIS_MRTRFLCO [[AGOS_L1_O_RIS_MRTRFLCO]],702,12990,58598,2026-06-09 14:16:02.866694+00:00,2026-07-24 12:56:53.547923+00:00,L1,OCS,XRI,,MRTRFLCO,"[""dbt build --select +mrtrflco""]","{""threads"": 2, ""target_name"": ""default""}"
669894,AGOS_L1_O_TRS_CCBIRTCM [[AGOS_L1_O_TRS_CCBIRTCM]],702,12990,58598,2026-06-09 14:16:03.417724+00:00,2026-06-30 09:42:15.539981+00:00,L1,OCS,TRS,,CCBIRTCM,"[""dbt build --select +ccbirtcm""]","{""threads"": 2, ""target_name"": ""default""}"
669895,AGOS_L1_O_CQS_OXSTFPART [[AGOS_L1_O_CQS_OXSTFPART]],702,12990,58598,2026-06-09 14:16:03.953196+00:00,2026-06-30 09:42:40.870368+00:00,L1,OCS,CQS,,OXSTFPART,"[""dbt build --select +oxstfpart""]","{""threads"": 2, ""target_name"": ""default""}"
669896,AGOS_L1_O_ANA_CCANATSA [[AGOS_L1_O_ANA_CCANATSA]],702,12990,58598,2026-06-09 14:16:04.513711+00:00,2026-07-16 08:43:44.725882+00:00,L1,OCS,ANA,,CCANATSA,"[""dbt build --select +ccanatsa""]","{""threads"": 2, ""target_name"": ""default""}"
669897,AGOS_L1_O_CQS_QSPRAST [[AGOS_L1_O_CQS_QSPRAST]],702,12990,58598,2026-06-09 14:16:06.072258+00:00,2026-06-30 09:36:33.215564+00:00,L1,OCS,CQS,,QSPRAST,"[""dbt build --select +qsprast""]","{""threads"": 2, ""target_name"": ""default""}"
669898,AGOS_L1_O_WFL_WFISFORI [[AGOS_L1_O_WFL_WFISFORI]],702,12990,58598,2026-06-09 14:16:07.100895+00:00,2026-06-30 09:39:28.551515+00:00,L1,OCS,WFL,,WFISFORI,"[""dbt build --select +wfisfori""]","{""threads"": 2, ""target_name"": ""default""}"
669899,AGOS_L1_O_CMN_CNGSFGDMK [[AGOS_L1_O_CMN_CNGSFGDMK]],702,12990,58598,2026-06-09 14:16:08.337154+00:00,2026-06-30 09:34:46.099918+00:00,L1,OCS,CMN,,CNGSFGDMK,"[""dbt build --select +cngsfgdmk""]","{""threads"": 2, ""target_name"": ""default""}"
669900,AGOS_L1_O_CMN_CNDCFMSP [[AGOS_L1_O_CMN_CNDCFMSP]],702,12990,58598,2026-06-09 14:16:08.550926+00:00,2026-07-24 12:57:26.396489+00:00,L1,OCS,XCM,,CNDCFMSP,"[""dbt build --select +cndcfmsp""]","{""threads"": 2, ""target_name"": ""default""}"
669901,AGOS_L1_O_CMN_CNGSFGSFC [[AGOS_L1_O_CMN_CNGSFGSFC]],702,12990,58598,2026-06-09 14:16:08.760529+00:00,2026-07-24 12:59:08.361199+00:00,L1,OCS,XCM,,CNGSFGSFC,"[""dbt build --select +cngsfgsfc""]","{""threads"": 2, ""target_name"": ""default""}"
669902,AGOS_L1_O_ANA_CCANATRE [[AGOS_L1_O_ANA_CCANATRE]],702,12990,58598,2026-06-09 14:16:08.968773+00:00,2026-07-24 12:59:34.019874+00:00,L1,OCS,XAN,,CCANATRE,"[""dbt build --select +ccanatre""]","{""threads"": 2, ""target_name"": ""default""}"
669903,AGOS_L1_O_CMN_CNTLFALL [[AGOS_L1_O_CMN_CNTLFALL]],702,12990,58598,2026-06-09 14:16:09.156937+00:00,2026-07-24 12:59:23.279185+00:00,L1,OCS,XCM,,CNTLFALL,"[""dbt build --select +cntlfall""]","{""threads"": 2, ""target_name"": ""default""}"
